cl cd

-0.62441 0.00821
-0.42160 0.00717
-0.21843 0.00665
-0.00389 0.00632
0.20444	0.00624
0.42086	0.00585
0.62987	0.00697
0.85436	0.00753
1.06538	0.00955

α cl

-8.29462 -0.61696
-6.09740 -0.41914
-4.13694 -0.18624
-2.06757 -0.00209
-0.06456 0.20400
1.89590	0.41523
4.18310	0.60963
6.14356	0.82628
8.29951	1.02404

x cp

0.00257	-1.02098
0.01304	-1.13986
0.03660	-1.16783
0.05624	-1.11189
0.07456	-1.04196
0.09681	-0.99301
0.14262	-0.98601
0.19498	-0.90909
0.24527	-0.86233
0.29479	-0.79794
0.34447	-0.73526
0.39421	-0.68631
0.44395	-0.61638
0.49369	-0.56044
0.54343	-0.49750
0.59316	-0.44156
0.64290	-0.39261
0.69526	-0.33666
0.74631	-0.28072
0.79866	-0.21778
0.84840	-0.14086
0.89395	-0.07914
0.94499	-0.00221
0.96594	0.04674
0.93583	0.02576
0.90033	0.01449
0.85059	0.01449
0.79562	0.00051
0.74850	-0.00649
0.69833	-0.00096
0.64510	0.00750
0.59667	0.00750
0.54693	0.00750
0.49646	0.00843
0.44672	0.00843
0.39698	0.00843
0.34594	-0.00556
0.29620	0.00143
0.24504	0.00143
0.19520	0.00548
0.14110	0.01250
0.09610	0.06637
0.07123	0.12930
0.04471	0.22241
0.03017	0.36474
0.01756	0.54324
0.00840	0.73905
0.00447	0.88590
